	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
miR-126	2	80	164	0.007981164451893532	0.31924657807574125	0.6544554850552695	0	33	73	0.0	0.162938823877944	0.3604404285784822	8	18	33	0.05230125523012552	0.11767782426778244	0.2157426778242678	0	19	29	0.0	0.1111111111111111	0.1695906432748538
miR-196	0	108	227	0.0	0.43098288040225063	0.9058621652899158	0	88	227	0.0	0.43450353034118405	1.1208216066755543	61	214	311	0.39879707112970714	1.3990585774058577	2.0332112970711296	0	67	166	0.0	0.391812865497076	0.9707602339181286
miR-17/20/93/106/519d	4	173	355	0.015962328903787064	0.6903707250887905	1.4166566902111017	3	134	297	0.014812620352540364	0.661630375746803	1.466449414901496	88	204	324	0.5753138075313807	1.3336820083682008	2.1182008368200838	0	109	234	0.0	0.6374269005847953	1.368421052631579
miR-18	11	328	605	0.043896404485414424	1.308910970110539	2.414302246697793	2	216	415	0.009875080235026909	1.0665086653829063	2.049079148768084	42	188	352	0.27458158995815896	1.2290794979079498	2.301255230125523	0	86	213	0.0	0.5029239766081871	1.2456140350877192
miR-19	10	201	394	0.039905822259467656	0.8021070274152999	1.5722893970230256	4	214	379	0.019750160470053818	1.0566335851478794	1.8713277045375996	75	274	398	0.49032426778242677	1.7913179916317992	2.601987447698745	0	87	228	0.0	0.5087719298245614	1.3333333333333335
miR-21/590	0	103	210	0.0	0.41102996927251684	0.8380222674488208	0	60	156	0.0	0.29625240705080724	0.7702562583320989	103	240	358	0.6733786610878661	1.5690376569037656	2.340481171548117	0	74	185	0.0	0.43274853801169594	1.0818713450292399
miR-23	0	421	616	0.0	1.6800351171235886	2.4581986511832077	3	132	327	0.014812620352540364	0.651755295511776	1.6145756184268996	206	427	645	1.3467573221757323	2.79157949790795	4.216788702928871	0	139	345	0.0	0.8128654970760233	2.017543859649123
miR-24	3	733	1481	0.011971746677840296	2.9250967716189793	5.91005227662716	38	646	1233	0.18762652446551129	3.1896509159136914	6.08798696489409	47	266	476	0.30726987447698745	1.7390167364016735	3.1119246861924688	1	208	450	0.0058479532163742695	1.2163742690058479	2.631578947368421
miR-26	0	89	207	0.0	0.3551618181092621	0.8260505207709805	0	69	184	0.0	0.3406902681084284	0.9085073816224757	129	259	393	0.8433577405857741	1.6932531380753137	2.5692991631799162	0	87	217	0.0	0.5087719298245614	1.2690058479532165
miR-27	0	216	491	0.0	0.8619657608045013	1.959375872939862	0	180	455	0.0	0.8887572211524218	2.246580753468622	143	375	619	0.9348849372384936	2.4516213389121337	4.0468096234309625	0	124	386	0.0	0.7251461988304094	2.257309941520468
