	z-dna_slop100>slop_#	z-dna_slop200>slop100_#	z-dna_slop100>slop_%	z-dna_slop200>slop100_%	quadruplex_slop100>slop_#	quadruplex_slop200>slop100_#	quadruplex_slop100>slop_%	quadruplex_slop200>slop100_%	sidd_slop100>slop_#	sidd_slop200>slop100_#	sidd_slop100>slop_%	sidd_slop200>slop100_%	h-dna_slop100>slop_#	h-dna_slop200>slop100_#	h-dna_slop100>slop_%	h-dna_slop200>slop100_%
76	138	145	0.5507003471806536	0.578634422762281	80	120	0.39500320940107636	0.5925048141016145	169	140	1.1048640167364017	0.9152719665271967	97	154	0.5672514619883041	0.9005847953216375
77	159	144	0.6345025739255358	0.5746438405363342	119	134	0.5875672739841011	0.661630375746803	58	42	0.37918410041841005	0.27458158995815896	35	47	0.20467836257309943	0.27485380116959063
78	125	123	0.4988227782433457	0.49084161379145214	99	174	0.4888164716338321	0.8591319804473412	106	149	0.6929916317991631	0.9741108786610879	93	131	0.543859649122807	0.7660818713450293
79	774	819	3.0887106428827966	3.2682868430504013	702	660	3.4661531624944453	3.25877647755888	502	271	3.2819037656903762	1.7717050209205019	481	491	2.8128654970760234	2.871345029239766
80	197	218	0.7861446985115128	0.8699469252563948	111	210	0.5480669530439934	1.0368834246778253	211	254	1.3794456066945606	1.6605648535564854	126	201	0.7368421052631579	1.1754385964912282
81	147	161	0.5866155872141745	0.6424837383774293	103	155	0.5085666321038859	0.7653187182145855	143	145	0.9348849372384936	0.9479602510460251	108	172	0.631578947368421	1.0058479532163742
82	518	417	2.0671215930404245	1.6640727882198014	438	465	2.1626425714708932	2.2959561546437564	339	303	2.216265690376569	1.9809100418410042	247	288	1.4444444444444444	1.6842105263157894
83	54	89	0.21549144020112532	0.3551618181092621	47	46	0.2320643855231324	0.22712684540561892	28	29	0.18305439330543932	0.18959205020920503	38	47	0.2222222222222222	0.27485380116959063
84	474	378	1.8915359750987668	1.5084400814078776	333	366	1.6442008591319803	1.8071396830099247	231	212	1.5101987447698746	1.3859832635983262	169	200	0.9883040935672515	1.1695906432748537
85	91	144	0.3631429825611557	0.5746438405363342	76	138	0.37525304893102257	0.6813805362168568	149	116	0.9741108786610879	0.7583682008368201	82	130	0.47953216374269003	0.7602339181286549
86	143	163	0.5706532583103875	0.6504649028293228	86	127	0.42462845010615713	0.6270675949242087	142	121	0.928347280334728	0.7910564853556487	95	146	0.5555555555555556	0.8538011695906433
87	212	311	0.8460034319007144	1.241071072269444	141	382	0.6961931565693971	1.8861403248901398	56	390	0.36610878661087864	2.549686192468619	74	96	0.43274853801169594	0.5614035087719298
88	385	188	1.5363741569895049	0.7502294584779919	113	186	0.5579420332790204	0.9183824618575026	131	164	0.8564330543933055	1.0721757322175733	94	149	0.5497076023391813	0.8713450292397661
89	260	393	1.037551378746159	1.568298814797079	302	367	1.4911371154890634	1.8120772231274378	211	234	1.3794456066945606	1.5298117154811715	153	258	0.894736842105263	1.5087719298245614
90	316	301	1.2610239833991779	1.2011652500099765	224	300	1.1060089863230138	1.4812620352540364	250	305	1.6344142259414225	1.9939853556485354	237	253	1.3859649122807018	1.4795321637426901
91	193	375	0.7701823696077258	1.4964683347300372	328	333	1.6195131585444131	1.6442008591319803	325	387	2.124738493723849	2.530073221757322	404	335	2.3625730994152048	1.95906432748538
92	107	140	0.42699229817630396	0.5586815116325472	81	143	0.3999407495185898	0.7060682368044241	212	197	1.3859832635983262	1.287918410041841	142	176	0.8304093567251462	1.0292397660818713
93	744	901	2.9689931761043935	3.5955145855780355	702	735	3.4661531624944453	3.6290919863723894	684	625	4.4717573221757325	4.086035564853557	658	748	3.847953216374269	4.374269005847953
94	173	210	0.6903707250887905	0.8380222674488208	1183	200	5.841109959018417	0.987508023502691	1156	261	7.557531380753138	1.706328451882845	214	434	1.2514619883040934	2.538011695906433
95	253	301	1.0096173031645317	1.2011652500099765	603	1502	2.9773366908606134	7.416185256505209	212	1626	1.3859832635983262	10.630230125523013	317	344	1.8538011695906433	2.0116959064327484
96	610	739	2.4342551578275273	2.94904026497466	669	1639	3.303214338616501	8.092628252604554	400	798	2.615062761506276	5.217050209205021	340	524	1.9883040935672516	3.064327485380117
97	197	245	0.7861446985115128	0.9776926453569577	163	153	0.804819039154693	0.7554436379795586	44	35	0.28765690376569036	0.22881799163179917	36	45	0.21052631578947367	0.2631578947368421
98	288	333	1.1492876810726684	1.328863881240273	194	215	0.9578827827976102	1.0615711252653928	278	164	1.817468619246862	1.0721757322175733	114	198	0.6666666666666667	1.1578947368421053
99	203	361	0.8100881918671934	1.4406001835667825	324	487	1.5997629980743593	2.4045820372290523	296	343	1.9351464435146442	2.2424163179916317	296	286	1.7309941520467838	1.672514619883041
100	681	876	2.7175864958697473	3.4957500299293667	640	643	3.160025675208611	3.1748382955611514	268	281	1.752092050209205	1.8370815899581587	301	400	1.760233918128655	2.3391812865497075
101	629	612	2.5100762201205153	2.442236322279421	455	488	2.246580753468622	2.409519577346566	174	184	1.1375523012552302	1.202928870292887	388	361	2.2690058479532165	2.111111111111111
